"år","region","ålder","män","kvinnor"
"1968","00 Riket","0-4 år",306525,290507
"1968","00 Riket","5-9 år",272859,258287
"1968","00 Riket","10-14 år",272370,257759
"1968","00 Riket","15-19 år",289080,275815
"1968","00 Riket","20-24 år",340215,325663
"1968","00 Riket","25-29 år",286121,266356
"1968","00 Riket","30-34 år",234887,223222
"1968","00 Riket","35-39 år",227388,223467
"1968","00 Riket","40-44 år",245406,243505
"1968","00 Riket","45-49 år",275317,272274
"1968","00 Riket","50-54 år",253655,253657
"1968","00 Riket","55-59 år",256296,257762
"1968","00 Riket","60-64 år",223627,237351
"1968","00 Riket","65-69 år",180522,204146
"1968","00 Riket","70-74 år",134084,162365
"1968","00 Riket","75-79 år",86914,114915
"1968","00 Riket","80-84 år",49508,68612
"1968","00 Riket","85-89 år",18854,27715
"1968","00 Riket","90-94 år",4899,7512
"1968","00 Riket","95-99 år",558,1113
"1968","00 Riket","100+ år",30,75
"1969","00 Riket","0-4 år",301373,284917
"1969","00 Riket","5-9 år",283059,269034
"1969","00 Riket","10-14 år",273883,258571
"1969","00 Riket","15-19 år",283964,270738
"1969","00 Riket","20-24 år",339752,325479
"1969","00 Riket","25-29 år",307074,284487
"1969","00 Riket","30-34 år",244707,230758
"1969","00 Riket","35-39 år",226470,221370
"1969","00 Riket","40-44 år",240514,238156
"1969","00 Riket","45-49 år",275349,273457
"1969","00 Riket","50-54 år",251211,250513
"1969","00 Riket","55-59 år",255028,256992
"1969","00 Riket","60-64 år",229441,242401
"1969","00 Riket","65-69 år",184615,208442
"1969","00 Riket","70-74 år",136534,165459
"1969","00 Riket","75-79 år",88594,118365
"1969","00 Riket","80-84 år",49681,70097
"1969","00 Riket","85-89 år",19552,29161
"1969","00 Riket","90-94 år",5064,8052
"1969","00 Riket","95-99 år",632,1213
"1969","00 Riket","100+ år",33,78
"1970","00 Riket","0-4 år",296138,280460
"1970","00 Riket","5-9 år",295091,280022
"1970","00 Riket","10-14 år",272556,257745
"1970","00 Riket","15-19 år",281996,269426
"1970","00 Riket","20-24 år",336628,321298
"1970","00 Riket","25-29 år",329291,304591
"1970","00 Riket","30-34 år",253067,237046
"1970","00 Riket","35-39 år",226134,218679
"1970","00 Riket","40-44 år",237023,234875
"1970","00 Riket","45-49 år",264526,262840
"1970","00 Riket","50-54 år",261080,260269
"1970","00 Riket","55-59 år",252466,255439
"1970","00 Riket","60-64 år",234154,245071
"1970","00 Riket","65-69 år",187510,211861
"1970","00 Riket","70-74 år",139846,170101
"1970","00 Riket","75-79 år",91336,122410
"1970","00 Riket","80-84 år",50413,72251
"1970","00 Riket","85-89 år",20522,31023
"1970","00 Riket","90-94 år",5263,8586
"1970","00 Riket","95-99 år",690,1292
"1970","00 Riket","100+ år",38,89
"1971","00 Riket","0-4 år",290726,275596
"1971","00 Riket","5-9 år",304009,288501
"1971","00 Riket","10-14 år",270774,257006
"1971","00 Riket","15-19 år",280332,267117
"1971","00 Riket","20-24 år",322494,310054
"1971","00 Riket","25-29 år",345069,320812
"1971","00 Riket","30-34 år",260367,242626
"1971","00 Riket","35-39 år",226857,218474
"1971","00 Riket","40-44 år",233405,231420
"1971","00 Riket","45-49 år",254863,253800
"1971","00 Riket","50-54 år",266445,266199
"1971","00 Riket","55-59 år",249964,253406
"1971","00 Riket","60-64 år",236702,246892
"1971","00 Riket","65-69 år",190835,215252
"1971","00 Riket","70-74 år",143217,175047
