"år","män Folkmängd","män Födda","män Döda","män Invandringar","män Utvandringar","män Medborgarskapsbyten","män Giftermål","män Skilsmässor","kvinnor Folkmängd","kvinnor Födda","kvinnor Döda","kvinnor Invandringar","kvinnor Utvandringar","kvinnor Medborgarskapsbyten","kvinnor Giftermål","kvinnor Skilsmässor","totalt Folkmängd","totalt Födda","totalt Döda","totalt Invandringar","totalt Utvandringar","totalt Medborgarskapsbyten","totalt Giftermål","totalt Skilsmässor"
"1749",828545,30101,24042,..,..,..,..,..,936179,29382,25474,..,..,..,..,..,1764724,59483,49516,..,..,..,15046,..
"1750",837024,32819,23441,..,..,..,..,..,943654,31692,24181,..,..,..,..,..,1780678,64511,47622,..,..,..,16374,..
"1751",848306,35263,23082,..,..,..,..,..,953826,34028,23820,..,..,..,..,..,1802132,69291,46902,..,..,..,16599,..
"1752",856012,33178,24573,..,..,..,..,..,960691,31795,24894,..,..,..,..,..,1816703,64973,49467,..,..,..,16761,..
"1753",867058,33759,21813,..,..,..,..,..,970811,32248,22092,..,..,..,..,..,1837869,66007,43905,..,..,..,15923,..
"1754",876994,35002,24167,..,..,..,..,..,980053,33757,24478,..,..,..,..,..,1857047,68759,48645,..,..,..,17457,..
"1755",886907,35810,24998,..,..,..,..,..,988122,34198,26092,..,..,..,..,..,1875029,70008,51090,..,..,..,17097,..
"1756",894165,34599,25847,..,..,..,..,..,995259,33388,26215,..,..,..,..,..,1889424,67987,52062,..,..,..,16005,..
"1757",896351,31708,27278,..,..,..,..,..,996639,29967,28551,..,..,..,..,..,1892990,61675,56579,..,..,..,15078,..
"1758",897162,32417,29362,..,..,..,..,..,996282,30845,31165,..,..,..,..,..,1893444,63262,61277,..,..,..,15273,..
"1759",903426,32816,24308,..,..,..,..,..,1002440,31049,24854,..,..,..,..,..,1905866,63865,49912,..,..,..,18529,..
"1760",912902,34693,22973,..,..,..,..,..,1012346,33691,23748,..,..,..,..,..,1925248,68384,47471,..,..,..,18705,..
"1761",922027,34505,24244,..,..,..,..,..,1020230,32819,24899,..,..,..,..,..,1942257,67324,49893,..,..,..,18253,..
"1762",926234,34890,29547,..,..,..,..,..,1023125,33378,30447,..,..,..,..,..,1949359,68268,60744,..,..,..,17428,..
"1763",928147,34923,31874,..,..,..,..,..,1024091,33308,32306,..,..,..,..,..,1952238,68231,64180,..,..,..,16850,..
"1764",935903,34852,26461,..,..,..,..,..,1030287,33136,26903,..,..,..,..,..,1966190,67988,53364,..,..,..,17219,..
"1765",941698,33812,27382,..,..,..,..,..,1035126,32060,27184,..,..,..,..,..,1976824,65872,54566,..,..,..,16066,..
"1766",949152,34202,24767,..,..,..,..,..,1042990,32859,24959,..,..,..,..,..,1992142,67061,49726,..,..,..,16419,..
