"kön","ålder","inkomstklass","år","00 Riket Medelinkomst, tkr","00 Riket Medianinkomst, tkr","00 Riket Totalsumma, mnkr","00 Riket Antal personer"
"män","totalt 16+ år","0","1999",0.0,0.0,0.0,130260
"män","totalt 16+ år","0","2000",0.0,0.0,0.0,133279
"män","totalt 16+ år","0","2001",0.0,0.0,0.0,136405
"män","totalt 16+ år","0","2002",0.0,0.0,0.0,148812
"män","totalt 16+ år","0","2003",0.0,0.0,0.0,164829
"män","totalt 16+ år","0","2004",0.0,0.0,0.0,174348
"män","totalt 16+ år","0","2005",0.0,0.0,0.0,188366
"män","totalt 16+ år","0","2006",0.0,0.0,0.0,185563
"män","totalt 16+ år","0","2007",0.0,0.0,0.0,193836
"män","totalt 16+ år","0","2008",0.0,0.0,0.0,208845
"män","totalt 16+ år","0","2009",0.0,0.0,0.0,249360
"män","totalt 16+ år","0","2010",0.0,0.0,0.0,236870
"män","totalt 16+ år","0","2011",0.0,0.0,0.0,244982
"män","totalt 16+ år","0","2012",0.0,0.0,0.0,242253
"män","totalt 16+ år","0","2013",0.0,0.0,0.0,241922
"män","totalt 16+ år","0","2014",0.0,0.0,0.0,240122
"män","totalt 16+ år","0","2015",0.0,0.0,0.0,221304
"män","totalt 16+ år","0","2016",0.0,0.0,0.0,216420
"män","totalt 16+ år","0","2017",0.0,0.0,0.0,220536
"män","totalt 16+ år","0","2018",0.0,0.0,0.0,221073
"män","totalt 16+ år","0","2019",0.0,0.0,0.0,234794
"män","totalt 16+ år","0","2020",0.0,0.0,0.0,267590
"män","totalt 16+ år","1-19 tkr","1999",8.4,7.6,1467.8,175757
"män","totalt 16+ år","1-19 tkr","2000",8.4,7.7,1380.5,163790
"män","totalt 16+ år","1-19 tkr","2001",8.5,7.9,1355.1,158896
"män","totalt 16+ år","1-19 tkr","2002",8.6,8.0,1330.7,154855
"män","totalt 16+ år","1-19 tkr","2003",8.5,7.8,1345.0,157550
"män","totalt 16+ år","1-19 tkr","2004",8.5,7.7,1362.9,159888
"män","totalt 16+ år","1-19 tkr","2005",8.5,7.7,1363.2,160491
"män","totalt 16+ år","1-19 tkr","2006",8.6,7.8,1386.8,162003
"män","totalt 16+ år","1-19 tkr","2007",8.5,7.7,1351.0,158015
"män","totalt 16+ år","1-19 tkr","2008",8.5,7.6,1359.2,160452
"män","totalt 16+ år","1-19 tkr","2009",8.1,7.0,1385.8,170521
"män","totalt 16+ år","1-19 tkr","2010",8.3,7.1,1429.9,173234
"män","totalt 16+ år","1-19 tkr","2011",8.3,7.3,1349.2,162088
"män","totalt 16+ år","1-19 tkr","2012",8.4,7.3,1312.9,156840
"män","totalt 16+ år","1-19 tkr","2013",8.4,7.3,1276.7,152531
"män","totalt 16+ år","1-19 tkr","2014",8.4,7.4,1244.3,147907
"män","totalt 16+ år","1-19 tkr","2015",8.2,7.2,1185.8,144406
"män","totalt 16+ år","1-19 tkr","2016",8.3,7.3,1160.2,140001
"män","totalt 16+ år","1-19 tkr","2017",8.3,7.4,1167.8,140154
"män","totalt 16+ år","1-19 tkr","2018",8.3,7.5,1170.7,140391
"män","totalt 16+ år","1-19 tkr","2019",8.3,7.4,1157.3,138769
